umoId,title,artistCreator,description,objectId,_id,photographer,people,appDate,isoDate,origDate,creationPlace,event,latitude,longitude,exhibition,labelTextEnglish,labelTextSpanish,locality,specimenNumber,commonName,scientificName,medium,copyright,creditLine,keyword,restrictionsForAccess,materialsReleaseRecd,permissionsRestrictions,sourceInstitution,infoStatus,institutionDesc,habitatDs,dsLocId,generalLocationDs,thenNowDs,internalNotes,,,,,thumbWidth,thumbHeight,thumbAspectRatio,expandedHeight,expandedWidth,expandedAspectRatio,
,Landslide,,"Los Angeles County, California, landslides. Pacific Palisades. Landslide at 15205 DePauw Street in middle Potrero Canyon. Overhanging rear of the house. View is south. November 18, 1955. Photos mjt00187, mjt00193, mjt00194, mjt00195, mjt00196, mjt00197, and mjt00198 form a multi-year sequence.","mjt00187 Los Angeles County, California, landslides.",ds19006,"McGill, J.T",,18-Nov-55,11/18/55,1955-Nov-18,"Pacific Palisades, CA",,34.0442315,-118.5268144,Attic / Coast to Cactus,Landslide at 15205 DePauw Street in middle Potrero Canyon.  View is to the south.,Deslizamiento de tierras en 15205 DePauw Street en el medio de Potrero Canyon. La vista es hacia el sur.,,,,,,USGS/Public Domain,USGS,landslide,US Gov't so should be PD,,,,,,Coast,19,Los Angeles,,/htmllib/btch205/btch205j/btch205z/mjt00187.jpg,,,,,117,175,0.668571,536,800,0.67,Deslizamiento de tierras en 15205 DePauw Street en el medio de Potrero Canyon. La vista es hacia el sur.
,"San Fernando, California, Earthquake",,"San Fernando, California, Earthquake February 1971. Damaged Los Angeles County ambulance still under collapsed covered parking at Olive View Hospital.","kach0049 San Fernando, California, Earthquake February 1971.",ds19005,"Kachadoorian, R.",,Feb-71,1971-02-00,1971-Feb,"San Fernando, CA",,34.2889985,-118.4359885,Attic / Coast to Cactus,"San Fernando Earthquake February, 1971. Damaged Los Angeles County ambulance still under collapsed covered parking at Olive View Hospital.",Terremoto de San Fernando en febrero de 1971. Ambulancia del condado de Los ÃÅngeles daÃ±ada y aÃºn debajo de una playa de estacionamiento colapsada en el hospital Olive View.,,,,,,USGS/Public Domain,USGS,earthquake,US Gov't so should be PD,,,,,,Urban,19,Los Angeles,,/htmllib/batch31/batch31j/batch31z/kach0049.jpg,,,,,175,117,1.49573,1000,666,1.5015,Terremoto de San Fernando en febrero de 1971. Ambulancia del condado de Los ÃÅngeles daÃ±ada y aÃºn debajo de una playa de estacionamiento colapsada en el hospital Olive View.
,Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.,,Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.,Sbard_SantaMonica02,ds19004,Susanne Clara Bard,,Aug-14,2014-08-00,2014-Aug,"Santa Monica, CA",,34.0218628,-118.4804206,Attic / Coast to Cactus,Alluvial bluffs along the Pacific Coast north of Santa Monica Canyon.,Acantilados aluviales a lo largo de la costa del PacÃ_fico al norte de Santa Monica Canyon.,,,,,,Â© Susanne Clara Bard,Susanne Clara Bard,beach,Need release,,,,,,Coast,19,Los Angeles,,,,,,,175,102,1.71569,1000,585,1.7094,Acantilados aluviales a lo largo de la costa del PacÃ_fico al norte de Santa Monica Canyon.
,"Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon. Pacific Ocean in background. Los Angeles County, Calfornia. ca 1904.",,"Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon. Pacific Ocean in background. Los Angeles County, Calfornia. ca 1904.",mwc00483 Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon,ds19003,"Mendenhall, W.C.",,1904,1904-00-00,1904,"Santa Monica, CA",,34.0218628,-118.4804206,Attic / Coast to Cactus,Alluvial bluffs along the Pacific Coast north of Santa Monica Canyon.,Acantilados aluviales a lo largo de la costa del PacÃ_fico al norte de Santa Monica Canyon.,,,,,,USGS/Public Domain,USGS,beach,US Gov't so should be PD,,,,,,Coast,19,Los Angeles,,/htmllib/btch438/btch438j/btch438z/btch438/mwc00483.jpg,,,,,175,125,1.4,1000,711,1.40647,Acantilados aluviales a lo largo de la costa del PacÃ_fico al norte de Santa Monica Canyon.
,Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.,,Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.,,ds19002,Susanne Clara Bard,,Aug-14,2014-08-00,2014-Aug,"Santa Monica, CA",,34.0218628,-118.4804206,Attic / Coast to Cactus,Alluvial bluffs along the Pacific Coast north of Santa Monica Canyon.,Acantilados aluviales a lo largo de la costa del PacÃ_fico al norte de Santa Monica Canyon.,,,,,,Â© Susanne Clara Bard,Susanne Clara Bard,beach,Need release,,,,,,Coast,19,Los Angeles,NOW1,,,,,,153,175,0.874286,698,800,0.8725,Acantilados aluviales a lo largo de la costa del PacÃ_fico al norte de Santa Monica Canyon.
,Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.,,"Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon. Pacific Ocean in background. Los Angeles County, Calfornia. ca 1904.",mwc00483 Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon,ds19001,"Mendenhall, W.C.",,1904,1904-00-00,1904,"Santa Monica, CA",,34.0218628,-118.4804206,Attic / Coast to Cactus,Alluvial bluffs along the Pacific Coast north of Santa Monica Canyon.,Acantilados aluviales a lo largo de la costa del PacÃ_fico al norte de Santa Monica Canyon.,,,,,,USGS/Public Domain,USGS,beach,US Gov't so should be PD,,,,,,Coast,19,Los Angeles,THEN1,/htmllib/btch438/btch438j/btch438z/btch438/mwc00483.jpg,,,,,153,175,0.874286,698,800,0.8725,Acantilados aluviales a lo largo de la costa del PacÃ_fico al norte de Santa Monica Canyon.
,,,Raising goats in the Tijuana River valley,PUnitt_Goats,ds18004,,,1940,1940-00-00,1940,Tijuana River,,32.541967,-117.055947,Attic / Coast to Cactus,Raising goats in the Tijuana River Valley.,Criando cabras en el valle del RÃ_o de Tijuana.,,,,,,Â© Phil Unitt,Phil Unitt,"goat, river",Need release,,,,,,Desert,18,South San Diego County,,date and location are approximate-get exact date and location,,,,,112,175,0.64,510,800,0.6375,Criando cabras en el valle del RÃ_o de Tijuana.
,Otay Lake,,Otay Lake,13610553803_777d5c17ed_o,ds18003,Kenny Chung,,2-Apr-14,4/2/14,2014-Apr-02,"Otay Lakes, CA",,32.6372,-116.9249,Attic / Coast to Cactus,Otay Lake.,El Lago Otay.,,,,,,"(CC) Kenny Chung, Creative Comons License 2.0",Kenny Chung,,https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,,18,South San Diego County,,https://www.flickr.com/photos/11166060@N04/13610553803/,,,,,175,118,1.48305,1000,676,1.47929,El Lago Otay.
,Capt. Tamplin scouting ahead of the crew laying hose.,,"Cap. Gordon Tamplin of Engine 58 in San Diego walks ahead of his crew for direction in a fire off of Otay Lakes Road, in east county San Diego on June 20, 2012.",11326639154_a2f8859de5_o,ds18002,,,20-Jun-12,6/20/12,2012-Jun-20,"Otay Lake, CA",,32.6372,-116.9249,Attic / Coast to Cactus,"Cap. Gordon Tamplin of Engine 58 in San Diego walks ahead of his crew, working a fire off of Otay Lakes Road, in east county San Diego","El capitÃ¡n Gordon Tamplin del CamiÃ_n de Bomberos 58 en San Diego camina delante de los miembros de su equipo combatiendo un incendio en Otay Lakes Road, en la parte este del condado de San Diego.",,,,,,"(CC) U.S. Fish & Wildlife Service, Creative Commons License 2.0",U.S. Fish & Wildlife Service,,https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,Chaparral,18,South San Diego County,,https://www.flickr.com/photos/usfws_pacificsw/11326639154/in/set-72157625122373320,,,,,175,117,1.49573,1000,666,1.5015,"El capitÃ¡n Gordon Tamplin del CamiÃ_n de Bomberos 58 en San Diego camina delante de los miembros de su equipo combatiendo un incendio en Otay Lakes Road, en la parte este del condado de San Diego."
,,,"Automobile parked under a billboard that reads ""San Ysidro The Gateway to the US"".",80_3441 San Ysidro Sign - c. 1920,ds18001,,,1920,1920-00-00,1920,"San Ysidro, CA",,32.5550541,-117.0497154,Attic / Coast to Cactus,"Automobile parked under a billboard that reads ""San Ysidro The Gateway to the US"".","Un automÃ_vil estacionado debajo de un cartel que dice â€œSan Ysidro, el Portal a los Estados Unidosâ€ù.",,,,,,Â© San Diego History Center,San Diego History Center,,All San Diego Historical Society photographs are protected by international copyright and are the exclusive property of the San Diego Historical Society.,,,,,,Desert,18,South San Diego County,,,,,,,175,140,1.25,1000,800,1.25,"Un automÃ_vil estacionado debajo de un cartel que dice â€œSan Ysidro, el Portal a los Estados Unidosâ€ù."
,California tiger salamander,,"California tiger salamander (Ambystoma californiense) Unlike many other salamanders, California tiger salamanders only spend a very short period of their life in water. As juveniles, they leave the water to seek underground burrows made by small mammals where they mature to adulthood. Only six to nine inches long from nose to tail, adults can travel more than a mile to reach the ponds where they breed. Photo courtesy of Alice Abela.",14605464424_014891506e_o,ds17003,,,18-Dec-10,12/18/10,2010-Dec-18,"Buellton, CA",,34.61758,-120.193394,Attic / Coast to Cactus,"California tiger salamander (Ambystoma californiense) Unlike many other salamanders, California tiger salamanders only spend a very short period of their life in water.","A diferencia de muchas otras salamandras, las salamandras tigre de California (Ambystoma californiense) pasan solamente un perÃ_odo muy corto de sus vidas en el agua.",,,,,,"(CC) USFWS Pacific Southwest Region, Creative Commons 2.0 Generic",USFWS Pacific Southwest Region,"salamander, threatened",https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,,17,Santa Monica Mountains and Coast,,https://www.flickr.com/photos/usfws_pacificsw/14605464424/in/set-72157645586245845,,,,,175,117,1.49573,1000,667,1.49925,"A diferencia de muchas otras salamandras, las salamandras tigre de California (Ambystoma californiense) pasan solamente un perÃ_odo muy corto de sus vidas en el agua."
,,,"Charred timbers left from a burned oil well.  Photo taken during collecting trip to Sulphur Mountain, Ventura County.",A40_001 Sulphur mtn Ventura cty,ds17002,,,1926,1926-00-00,1926,"Sulphur Mountain, CA",,34.4032615,-119.2296347,Attic / Coast to Cactus,"Charred timbers left from a burned oil well. Photo taken during a San Diego Natural History Museum collecting trip to Sulphur Mountain, Ventura County.","Restos de maderos carbonizados de un pozo petrolero quemado. Foto tomada durante una expediciÃ_n de recolecciÃ_n del Museo de Historia Natural de San Diego al Monte Sulphur, en el condado de Ventura.",,,,,,Â© San Diego Natural History Museum,San Diego Natural History Museum,,,,,,,,Mountains,17,Santa Monica Mountains and Coast,,San Diego Natural History MuseumRare Book Room page scan A41,,,,,175,106,1.65094,1000,608,1.64474,"Restos de maderos carbonizados de un pozo petrolero quemado. Foto tomada durante una expediciÃ_n de recolecciÃ_n del Museo de Historia Natural de San Diego al Monte Sulphur, en el condado de Ventura."
,,,MalibuÂ brushÂ fireÂ seen from across Roosevelt Highway is threateningÂ MalibuÂ Inn andÂ MalibuÂ film star colony.Â FireÂ fighters beat back the blaze with back-fires.,00030206_R,ds17001,,,28-Oct-35,10/28/35,1935-Oct-28,"Malibu, CA",,34.033745,-118.7542071,Attic / Coast to Cactus,MalibuÂ brushÂ fireÂ seen from across Roosevelt Highway is threateningÂ MalibuÂ Inn andÂ MalibuÂ film star colony.Â FireÂ fighters beat back the blaze with back-fires.,Un incendio forestal en Malibu visto desde Roosevelt Highway amenaza al Malibu Inn y la colonia de los artistas de cine de Malibu. Los bomberos combaten las llamas con fuegos de contenciÃ_n.,,,,,,Los Angeles Public Library Herald-Examiner Collection,,,http://www.lapl.org/collections-resources/photo-order-info,,,,,,Coast,17,Santa Monica Mountains and Coast,,http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=30&controlNumber=33185,,,,,175,138,1.26812,1000,789,1.26743,Un incendio forestal en Malibu visto desde Roosevelt Highway amenaza al Malibu Inn y la colonia de los artistas de cine de Malibu. Los bomberos combaten las llamas con fuegos de contenciÃ_n.
,Heading down Palm Springs Aerial Tramway,,A tram car full of visitors is making its way down to the Valley Station.,00094557_R,ds16004,,,5-Aug-66,8/5/66,1966-Aug-05,"Palm Springs, CA",,33.837132,-116.614157,Attic / Coast to Cactus,A tram car full of visitors is making its way down to the Valley Station.,Un cable carril lleno de visitantes se encamina hacia Valley Station,,,,,,Los Angeles Public Library,Los Angeles Public Library Herald-Examiner Collection,tram,http://www.lapl.org/collections-resources/photo-order-info,,,,,,Mountains,16,San Jacinto Mountains,,http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=67&controlNumber=5022628,,,,,175,131,1.33588,1000,750,1.33333,Un cable carril lleno de visitantes se encamina hacia Valley Station
,Wind farm and San Jacinto Peak,,Wind farm and San Jacinto Peak,100236998_a961f23d1f_o,ds16003,John Marquis,,Dec-04,2004-12-00,2004-Dec,"San Jacinto, CA",,33.814463,-116.6791834,Attic / Coast to Cactus,Wind farm and San Jacinto Peak.,Parque eÃ_lico y la cima de San Jacinto.,,,,,,"(CC) John Marquis, Creative Commons License 2.0",John Marquis,,https://creativecommons.org/licenses/by-nc-nd/2.0/,non commercial use,https://creativecommons.org/licenses/by-nc-nd/2.0/,,,,Mountains,16,San Jacinto Mountains,,,,https://www.flickr.com/photos/wayfinder_73/100236998,,,140,175,0.8,639,800,0.79875,Parque eÃ_lico y la cima de San Jacinto.
,,,Diana's Pool photographed 92 years apart as part of the San Jacinto resurvey undertaken by the San Diego Natural History Museum to document changes to the landscape over time.,5-Dianas Pool NOW1,ds16002,,,2014,2014-00-00,2014,"San Jacinto, CA",,33.814463,-116.6791834,Attic / Coast to Cactus,"Diana's Pool, photographed 92 years later, as part of the San Jacinto resurvey project by the San Diego Natural History Museum to document changes to the landscape over time.","El estanque natural de Diana, fotografiado 92 aÃ±os despuÃ©s, como parte del proyecto de nuevo relevamiento de San Jacinto efectuado por el Museo de Historia Natural de San Diego para documentar los cambios en el paisaje a lo largo del tiempo.",,,,,,???,San Diego Natural History Museum?,,,,,,,,Mountains,16,San Jacinto Mountains,NOW1,San Jacinto Resurvey,,,,,116,175,0.662857,532,800,0.665,"El estanque natural de Diana, fotografiado 92 aÃ±os despuÃ©s, como parte del proyecto de nuevo relevamiento de San Jacinto efectuado por el Museo de Historia Natural de San Diego para documentar los cambios en el paisaje a lo largo del tiempo."
,,,Diana's Pool photographed 92 years apart as part of the San Jaconto resurvey undertaken by the San Diego Natural History Museum to document changes to the landscape over time.,5-Dianas pool.c1922 THEN 1,ds16001,,,1922,1922-00-00,1922,"San Jacinto, CA",,33.814463,-116.6791834,Attic / Coast to Cactus,Diana's Pool,El estanque natural de Diana.,,,,,,???,San Diego Natural History Museum?,,,,,,,,Mountains,16,San Jacinto Mountains,THEN1,Who owns these exactly?,,,,,114,175,0.651429,520,800,0.65,El estanque natural de Diana.
,,,"Julia and Eloise Arciniega (far left, 2nd from left, respectively) with friends on an outing toÂ snowÂ at Wrightwood or Big Pines.",2625,ds15003,,,1930,1930-00-00,1930,"Wrightwood, CA",,34.3788885,-117.69,Attic / Coast to Cactus,Julia (far left) and Eloise Arciniega (2nd from left) with friends on an outing toÂ snowÂ at Wrightwood or Big Pines.,Julia (extrema izquierda) y Eloise Arciniega (segunda desde la izquierda) con amigos en una excursiÃ_n a la nieve en Wrightwood o Big Pines.,,,,,,Los Angeles Public Library,Los Angeles Public Library Shades of L.A. Colelction,,"The contents of this collection are restricted to personal, research, and non-commercial use. The Library cannot share the personal and/or contact information of the donors, their descendants, or associates who contributed photographs and oral histories to the collection.",,,,,,Mountains,15,San Gabriel Mountains,,http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=29&controlNumber=18307,,,,,175,115,1.52174,1000,655,1.52672,Julia (extrema izquierda) y Eloise Arciniega (segunda desde la izquierda) con amigos en una excursiÃ_n a la nieve en Wrightwood o Big Pines.
,Sunset in the San Gabriel Mountains,"Sunset in the San Gabriel mountains just above Wrightwood, CA.",Sunset in the San Gabriel Mountains,8017623111_6a7e4e99bb_o,ds15002,Rennett Stowe,,22-Sep-12,9/22/12,2012-Sep-22,"Big Pines, CA",,34.3788885,-117.69,Attic / Coast to Cactus,Sunset in the San Gabriel Mountains.,El atardecer en las montaÃ±as San Gabriel.,,,,,,"(CC) Rennett Stowe, Creative Commons License 2.0",Rennett Stowe,sunset,https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,Mountains,15,San Gabriel Mountains,,https://www.flickr.com/photos/tomsaint/8017623111,,,,,175,117,1.49573,1000,667,1.49925,El atardecer en las montaÃ±as San Gabriel.
,,,Family photo taken on Mt. Lowe,35017,ds15001,DS-15002,DS-15003,1900,1900-00-00,1900,"Mt. Lowe, CA",,34.2319475,-118.1059034,Attic / Coast to Cactus,Family photo taken on Mt. Lowe.,Foto de familia tomada en Mt. Lowe.,,,,,,Los Angeles Public Library,Los Angeles Public Library,,need permissions,,,,,,Mountains,15,San Gabriel Mountains,,Date is an estimate based on clothing-Locate date and larger image? http://www.kcet.org/socal/departures/san-gabriel-river/hotels-in-the-sky-bygone-mountaintop-resorts-of-la.html,,,,,175,135,1.2963,1000,772,1.29534,Foto de familia tomada en Mt. Lowe.
,,"Sensor, Guy (Guy Sidney), 1888-1969",A man overlooking Mission Valley pointing toward Mission San Diego de AlcalÃ¡,Sensor 18-50 Mission Valley - Looking Northeast - nd,ds14004,,,1935,1935-00-00,1935,Mission Valley,,32.773448,-117.137523,Attic / Coast to Cactus,A man overlooking Mission Valley pointing toward Mission San Diego de AlcalÃ¡.,"Un hombre mirando a Mission Valley desde arriba, seÃ±alando hacia la misiÃ_n de San Diego de AlcalÃ¡.",,,,,,Â© San Diego History Center,San Diego History Center,,need permissions,,,,,,Scrubland?,14,San Diego - Inland,,http://content.cdlib.org/ark:/13030/kt9n39q2vw/,,,,,175,140,1.25,1000,800,1.25,"Un hombre mirando a Mission Valley desde arriba, seÃ±alando hacia la misiÃ_n de San Diego de AlcalÃ¡."
,,,Plant identification in canyon below Mesa College as part of Professor Albert Grennan's botany class.,SDHNM_Grennan_002,ds14003,Albert Grennan,,1995,1995-00-00,1995,San Diego,,32.805031,-117.168808,Attic / Coast to Cactus,Plant identification in canyon below Mesa College as part of Professor Albert Grennan's botany class.,IdentificaciÃ_n de plantas en un caÃ±Ã_n debajo de Mesa College como parte de la clase de botÃ¡nica del Profesor Albert Grennan.,,,,,,Albert Grennan,Albert Grennan,"plant, botany",,Y,,,,,Riparian,14,San Diego - Inland,,,,,,,175,129,1.35659,1000,735,1.36054,IdentificaciÃ_n de plantas en un caÃ±Ã_n debajo de Mesa College como parte de la clase de botÃ¡nica del Profesor Albert Grennan.
,,,Great horned owl,6198261756_533c262f57_o,ds14002,Jim Melli,,2011,2011-00-00,2011,near San Diego,,32.7662518,-116.8838481,Attic / Coast to Cactus,Great horned owl.,BÃºho cornudo.,,,,,,Â© Jim Melli,Jim Melli,fire,Need release,,,,,,Riparian?,14,San Diego - Inland,,https://www.flickr.com/photos/melli46/6198261756/in/set-72157627787500506/  Check with Jim for location and habitat; is this in the right location?,,,,,175,131,1.33588,1000,750,1.33333,BÃºho cornudo.
,Rincon Ranch Creek,,"CampingÂ at Rincon Ranch Creek, in San Diego.",49519,ds14001,,,Between 1913 and 1916,1914-00-00,1913/1916,"San Diego, CA",,32.7629995,-116.7756682,Attic / Coast to Cactus,"CampingÂ at Rincon Ranch Creek, in San Diego.","Acampando en Rincon Ranch Creek, en San Diego.",,,,,,Los Angeles Public Library,Los Angeles Public Library Security Pacific National Bank Collection,camping,http://www.lapl.org/collections-resources/photo-order-info,,,,,,Scrubland,14,San Diego - Inland,,http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=98&controlNumber=54598,,,,,134,175,0.765714,611,800,0.76375,"Acampando en Rincon Ranch Creek, en San Diego."
,Bird's eye view of San Diego,,Bird's eye view of San Diego,LOC_Birds Eye view SD 1876_pm000330,ds13057,,,1876,1876-00-00,1876,"San Diego, CA",,32.8245525,-117.0951632,Attic / Coast to Cactus,"Bird's eye view of San Diego, California.","Vista a vuelo de pÃ¡jaro de San Diego, California.",,,,,,Library of Congress,Library of Congress,"panorama, city, historic",none,,public domain,,,,Coast,13,San Diego - Coast,THEN?,,,,,,175,121,1.44628,1000,694,1.44092,"Vista a vuelo de pÃ¡jaro de San Diego, California."
,Bird's Eye View of Coronado.,,Bird's Eye View of Coronado.,LOC_Birds Eye Coronado 1880_pm000191,ds13056,,,1880,1880-00-00,1880,"Coronado Island, CA",,32.6463448,-117.1735194,Attic / Coast to Cactus,Bird's eye view of Coronado.,Vista a vuelo de pÃ¡jaro de Coronado.,,,,,,Library of Congress,Library of Congress,"panorama, city, historic",none,,public domain,,,,Coast,13,San Diego - Coast,THEN?,,,,,,175,133,1.31579,1000,762,1.31234,Vista a vuelo de pÃ¡jaro de Coronado.
,CoronadoÂ TentÂ CityÂ andÂ HotelÂ delÂ Coronado,,"Panoramic view ofÂ CoronadoÂ beachÂ andÂ itsÂ TentÂ CityÂ for tourists;Â HotelÂ delÂ CoronadoÂ is visible in the background. A number of flags are flying,Â andÂ electric power poles make electricity available. On December 19, 1885, H.L. StoryÂ andÂ E.S. (Elisha) Babcock purchased the entire peninsula ofÂ CoronadoÂ andÂ North Island for $110,000Â andÂ developed it through subdivisionÂ andÂ lot sales. They were also the visionary founders of theÂ HotelÂ delÂ Coronado, built by architects James, Merritt & Watson Reid at the cost of one million dollars. TheÂ Del, as it is known, opened in 1888Â andÂ is located immediately behind the beach, facing the Pacific Ocean; it is the largest beach resort on the North American Pacific Coast. It was designated California Historical Landmark No. 844, added to the National Register of Historic Places - building #71000181 on October 14, 1971,Â andÂ designated a National Historic Landmark on May 5, 1977.",,ds13055,,,1920,1920-00-00,1920,"Coronado Island, CA",,32.6463448,-117.1735194,Attic / Coast to Cactus,Coronado beach and its Tent City for tourists; Hotel del Coronado is visible in the background. Electric power poles supplied electricity.,La playa Coronado y su ciudad de carpas para turistas; el Hotel del Coronado es visible al fondo. Postes del tendido elÃ©ctrico suministraban electricidad.,,,,,,Los Angeles Public Library,Los Angeles Public Library Security Pacific National Bank Collection,camping,,,,,,,Coast,13,San Diego - Coast,,LINK DOES NOT WORK - http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=92&controlNumber=77563 data is approximate,,,,,175,110,1.59091,1000,630,1.5873,La playa Coronado y su ciudad de carpas para turistas; el Hotel del Coronado es visible al fondo. Postes del tendido elÃ©ctrico suministraban electricidad.
,,,"The Famous Hotel del Coronado, Coronado, Calif.",7535859768_0b1a245c33_o,ds13054,,,Between 1930 and 1945,1937-00-00,1930/1945,"Coronado Island, CA",,32.6463448,-117.1735194,Attic / Coast to Cactus,"Postcard: ""The Famous Hotel del Coronado, Coronado, Calif.""","Postal: ""El Famoso Hotel del Coronado, Coronado, Calif.""",,,,,,"(CC) Boston Public Library, Creative Commons License 2.0",Boston Public Library,,https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,,13,San Diego - Coast,,https://www.flickr.com/photos/boston_public_library/7535859768; ca.1932,,,,,175,110,1.59091,1000,631,1.58479,"Postal: ""El Famoso Hotel del Coronado, Coronado, Calif."""
,,,Exploring tidepools at Point Loma,SDNHM_CatoP_003,ds13053,Kerry Cato,,Apr-97,1997-04-00,1997-Apr,"Point Loma, San Diego, CA",,32.7123811,-117.2160231,Attic / Coast to Cactus,"Alyse, Paisley and Katie Cato exploring the tide pools at Point Loma, CA.","Explorando las pozas de marea en Point Loma, California.",,,,,,Â©Paisley Cato,Paisley Cato,"beach, tidepool",,,,,,,,13,San Diego - Coast,,,,,,,175,120,1.45833,1000,685,1.45985,"Explorando las pozas de marea en Point Loma, California."
,,,"Tijuana River Estuarine Research Reserve. The Tijuana River Estuarine Research Reserve is part of a network of 28 protected areas located in the United States and territories established for long-term research, education and stewardship.",9953347176_dde3756944_o,ds13052,,,16-Dec-08,12/16/08,2008-Dec-16,"San Diego, CA",,32.8245525,-117.0951632,Attic / Coast to Cactus,"The Tijuana River Estuarine Research Reserve is part of a network of 28 protected areas located in the United States and territories established for long-term research, education and stewardship.","La Reserva Nacional de InvestigaciÃ_n Estuarina del RÃ_o Tijuana es parte de una red de 28 Ã¡reas protegidas ubicadas en los Estados Unidos y territorios, establecida para investigaciÃ_n de largo plazo, educaciÃ_n y administraciÃ_n.",,,,,,"(CC) Tijuana River National Estuarine Research Reserve, Creative Commons License 2.0", Tijuana River National Estuarine Research Reserve,estuary,https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,,13,San Diego - Coast,,https://www.flickr.com/photos/usoceangov/9953347176/,,,,,175,130,1.34615,1000,741,1.34953,"La Reserva Nacional de InvestigaciÃ_n Estuarina del RÃ_o Tijuana es parte de una red de 28 Ã¡reas protegidas ubicadas en los Estados Unidos y territorios, establecida para investigaciÃ_n de largo plazo, educaciÃ_n y administraciÃ_n."
,Female Black-chinned Hummingbird (Archilochus alexandri),,Female Black-chinned Hummingbird (Archilochus alexandri),6081198171_99a3ddabe8_o,ds13051,,,18-Jul-11,7/18/11,2011-Jul-18,"San Diego, CA",,32.8245525,-117.0951632,Attic / Coast to Cactus,Female Black-chinned Hummingbird (Archilochus alexandri).,Un colibrÃ_ barba negra hembra (Archilochus alexandri).,,,,,,"(CC) Heather Paul, Creative Commons License BY-ND 2.0",Heather Paul,"hummingbird, bird",https://creativecommons.org/licenses/by-nd/2.0/,,https://creativecommons.org/licenses/by-nd/2.0/,,,,,13,San Diego - Coast,,https://www.flickr.com/photos/warriorwoman531/6081198171/,,,,,175,117,1.49573,1000,671,1.49031,Un colibrÃ_ barba negra hembra (Archilochus alexandri).
,San Diego from Space Shuttle Columbia,,"STS090-758-018 (17 April - 3 May 1998) --- The Space Shuttle Columbia was almost directly over the San Diego, California, area when this scene was captured with a 70mm handheld camera. In order for north to appear toward the top of the frame, it should be held with the Pacific Ocean waters to the left. The United States Naval Air Station, the United States Naval Training Center, United States Marine Corps (USMC) Recruit Depot and the United States Naval Station are all visible just left of center on or near the island and peninsula features. Among the many bodies of water visible in the photo are Mission Bay, San Diego Bay, Lower Otay Reservoir, Sweetwater Reservoir and El Capitan Reservoir.",9362266426_a8071b6f3c_o,ds13050,,,Mar-98,1998-03-00,1998-Mar,"San Diego, CA",,32.8245525,-117.0951632,Attic / Coast to Cactus,"The Space Shuttle Columbia was almost directly over the San Diego, California, area when this scene was captured with a 70mm handheld camera.","El Taxi Espacial Columbia estaba casi directamente encima del Ã¡rea de San Diego, California, cuando esta escena fue capturada con una cÃ¡mara de mano de 70 mm.",,,,,,NASA/Public Domain,NASA,"space, aerial",https://creativecommons.org/licenses/by-nc/2.0/,,https://creativecommons.org/licenses/by-nc/2.0/,,,,,13,San Diego - Coast,,https://www.flickr.com/photos/conboy/4366364865,,,,,175,170,1.02941,822,800,1.0275,"El Taxi Espacial Columbia estaba casi directamente encima del Ã¡rea de San Diego, California, cuando esta escena fue capturada con una cÃ¡mara de mano de 70 mm."
,S-8449 Mission Bay - Aerial - 1967,,Mission Bay Aerial 1999 from San Diego History book,S-8449 Mission Bay - Aerial - 1967,ds13049,,,1967,1967-00-00,1967,"Mission Bay, San Diego, CA",,32.777574,-117.2293209,,An aerial view of Mission Bay.,Una vista aÃ©rea de Mission Bay.,,,,,, Â© San Diego History Center,San Diego History Center,"aerial, bay",Need permissions,,Need permissions,,,,Coast,13,San Diego - Coast,NOW?,http://www.sandiegohistory.org/journal/2002-1/imagesrick.htm,,,,,175,140,1.25,1000,800,1.25,Una vista aÃ©rea de Mission Bay.
