"umoId","title","artistCreator","description","objectId","_id","photographer","people","appDate","isoDate","origDate","creationPlace","event","latitude","longitude","exhibition","labelTextEnglish","labelTextSpanish","locality","specimenNumber","commonName","scientificName","medium","copyright","creditLine","keyword","restrictionsForAccess","materialsReleaseRecd","permissionsRestrictions","sourceInstitution","infoStatus","institutionDesc","habitatDs","dsLocId","generalLocationDs","thenNowDs","internalNotes","","","","","thumbWidth","thumbHeight","thumbAspectRatio","expandedHeight","expandedWidth","expandedAspectRatio"
"","","","The Famous Hotel del Coronado, Coronado, Calif.","7535859768_0b1a245c33_o","ds13054","","","date-Between 1930 and 1945","iso-1937-00-00","1930/1945","Coronado Island, CA","","32.6463448","-117.1735194","Attic / Coast to Cactus","Postcard: ""The Famous Hotel del Coronado, Coronado, Calif.""","","","","","","","(CC) Boston Public Library, Creative Commons License 2.0","Boston Public Library","","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","","13","San Diego - Coast","","https://www.flickr.com/photos/boston_public_library/7535859768; ca.1932","","","","","175","110","1.59091","1500","947","1.58395"
"","","","Exploring tidepools at Point Loma","SDNHM_CatoP_003","ds13053","Kerry Cato","","date-April 1997","iso-1997-04-00","1997-Apr","Point Loma, San Diego, CA","","32.7123811","-117.2160231","Attic / Coast to Cactus","Alyse, Paisley and Katie Cato exploring the tide pools at Point Loma, CA.","","","","","","","©Paisley Cato","Paisley Cato","beach, tidepool","","","","","","","","13","San Diego - Coast","","","","","","","175","120","1.45833","1500","1027","1.46056"
"","","","Tijuana River Estuarine Research Reserve. The Tijuana River Estuarine Research Reserve is part of a network of 28 protected areas located in the United States and territories established for long-term research, education and stewardship.","9953347176_dde3756944_o","ds13052","","","date-December 16, 2008","iso-2008-12-16","2008-Dec-16","San Diego, CA","","32.8245525","-117.0951632","Attic / Coast to Cactus","The Tijuana River Estuarine Research Reserve is part of a network of 28 protected areas located in the United States and territories established for long-term research, education and stewardship.","","","","","","","(CC) Tijuana River National Estuarine Research Reserve, Creative Commons License 2.0"," Tijuana River National Estuarine Research Reserve","estuary","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","","13","San Diego - Coast","","https://www.flickr.com/photos/usoceangov/9953347176/","","","","","175","130","1.34615","1500","1112","1.34892"
"","Female Black-chinned Hummingbird (Archilochus alexandri)","","Female Black-chinned Hummingbird (Archilochus alexandri)","6081198171_99a3ddabe8_o","ds13051","","","date-July 18, 2011","iso-2011-07-18","2011-Jul-18","San Diego, CA","","32.8245525","-117.0951632","Attic / Coast to Cactus","Female Black-chinned Hummingbird (Archilochus alexandri).","","","","","","","(CC) Heather Paul, Creative Commons License BY-ND 2.0","Heather Paul","hummingbird, bird","https://creativecommons.org/licenses/by-nd/2.0/","","https://creativecommons.org/licenses/by-nd/2.0/","","","","","13","San Diego - Coast","","https://www.flickr.com/photos/warriorwoman531/6081198171/","","","","","175","117","1.49573","1500","1007","1.48957"
"","San Diego from Space Shuttle Columbia","","STS090-758-018 (17 April - 3 May 1998) --- The Space Shuttle Columbia was almost directly over the San Diego, California, area when this scene was captured with a 70mm handheld camera. In order for north to appear toward the top of the frame, it should be held with the Pacific Ocean waters to the left. The United States Naval Air Station, the United States Naval Training Center, United States Marine Corps (USMC) Recruit Depot and the United States Naval Station are all visible just left of center on or near the island and peninsula features. Among the many bodies of water visible in the photo are Mission Bay, San Diego Bay, Lower Otay Reservoir, Sweetwater Reservoir and El Capitan Reservoir.","9362266426_a8071b6f3c_o","ds13050","","","date-March 1998","iso-1998-03-00","1998-Mar","San Diego, CA","","32.8245525","-117.0951632","Attic / Coast to Cactus","The Space Shuttle Columbia was almost directly over the San Diego, California, area when this scene was captured with a 70mm handheld camera.","","","","","","","NASA/Public Domain","NASA","space, aerial","https://creativecommons.org/licenses/by-nc/2.0/","","https://creativecommons.org/licenses/by-nc/2.0/","","","","","13","San Diego - Coast","","https://www.flickr.com/photos/conboy/4366364865","","","","","175","170","1.02941","1500","1460","1.0274"
"","S-8449 Mission Bay - Aerial - 1967","","Mission Bay Aerial 1999 from San Diego History book","S-8449 Mission Bay - Aerial - 1967","ds13049","","","date-1967","iso-1967-00-00","1967","Mission Bay, San Diego, CA","","32.777574","-117.2293209","","An aerial view of Mission Bay.","","","","","",""," © San Diego History Center","San Diego History Center","aerial, bay","Need permissions","","Need permissions","","","","Coast","13","San Diego - Coast","NOW?","http://www.sandiegohistory.org/journal/2002-1/imagesrick.htm","","","","","175","140","1.25","1500","1200","1.25"
"","Mission Bay 1912","","Mission Bay - 1912","SDHC_DS_Mission Bay 1912_13806_R.jpg","ds13048","","","date-1912","iso-1912-00-00","1912","Mission Bay, San Diego, CA","","32.777574","-117.2293209","","Mission Bay.","","","","","",""," © San Diego History Center","San Diego History Center","bay","Need permissions","","Need permissions","","","","Coast","13","San Diego - Coast","THEN?","http://www.sandiegohistory.org/photostore/product/mission-bay-1912/","","","","","175","88","1.98864","1500","750","2"
"","Mission Bay","","MISSION BAY - VIEW LOOKING NORTH FROM JELLETT AND PACIFIC HIGHWAY - 1906 - #214","214 Pacific Beach - Rose Canyon - 1906","ds13047","","","date-1906","iso-1906-00-00","1906","Mission Bay, San Diego, CA","","32.777574","-117.2293209","","Mission Bay - view looking north from Jellett and Pacific Highway.","","","","","",""," © San Diego History Center","San Diego History Center","bay","Need permissions","","Need permissions","","","","Coast","13","San Diego - Coast","THEN?","http://www.sandiegohistory.org/prints/m-m/mission-bay-view-looking-north-jellett-and-pacific-highway-1906-214","","","","","175","140","1.25","1500","1200","1.25"
"","Red san verbena","","Red sand verbena","13903101962_2e72345ed8_o","ds13046","Jim Melli","","date-April 11, 2014","iso-2014-04-11","2014-Apr-11","Tijuana Estuary","","32.551019","-117.111768","Attic / Coast to Cactus","Red sand-verbena.","","","","","","","©Jim Melli","Jim Melli","verbena, plant","","Need release","","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/melli46/13903101962/in/set-72157644127089763","","","","","175","115","1.52174","1500","986","1.5213"
"","Osprey in flight over Sweetwater Marsh","","Osprey in flight over Sweetwater Marsh","7114010895_8b993d4df5_o","ds13045","","","date-April 25, 2012","iso-2012-04-25","2012-Apr-25","San Diego Bay National Wildlife Refuge, CA","","32.5983148","-117.1229822","Attic / Coast to Cactus","Osprey in flight over Sweetwater Marsh.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","U.S. Fish and Wildlife Service","osprey, bird, marsh","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","","","","","","175","117","1.49573","1500","999","1.5015"
"","Sweetwater River Flood Control Channel","","The Sweetwater River divides two portions of the Sweetwater Marsh Unit of the San Diego Bay NWR.","7114016167_f3a3a6c53d_o","ds13044","Lisa Cox","","date-April 25, 2012","iso-2012-04-25","2012-Apr-25","San Diego Bay National Wildlife Refuge, CA","","32.5983148","-117.1229822","Attic / Coast to Cactus","The Sweetwater River divides two portions of the Sweetwater Marsh Unit of the San Diego Bay National Wildlife Refuge.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","river, marsh","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/7114010895/in/set-72157628606924721","","","","","175","46","3.80435","1500","395","3.79747"
"","Chula Vista Nature Center on the Sweetwater Marsh Unit of the San Diego Bay NWR","","The Chula Vista Nature Center is located on Sweetwater Marsh, and has been in operation since 1987.","6584496523_0b122391c3_o","ds13043","Lisa Cox","","date-June 01, 2011","iso-2011-06-01","2011-Jun-01","San Diego Bay National Wildlife Refuge, CA","","32.5983148","-117.1229822","Attic / Coast to Cactus","The Chula Vista Nature Center is located on Sweetwater Marsh, and has been in operation since 1987.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","marsh","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6584496523/in/set-72157628606924721","","","","","175","117","1.49573","1500","1000","1.5"
"","Cleveland sage (Salvia clevelandii)","","Cleveland sage (Salvia clevelandii). A bee's-eye-view, taken at the Visitor Center on Tijuana Slough NWR, looking southwest toward the ocean.","6798012855_621fca562e_o","ds13042","Lisa Cox","","date-April 28, 2011","iso-2011-04-28","2011-Apr-28","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","Cleveland Sage (Salvia clevelandii). A bee's-eye-view, taken at the Visitor Center on Tijuana Slough National Wildlife Refuge, looking southwest toward the ocean.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","sage, plant","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6798012855/in/set-72157628527901173/","","","","","175","123","1.42276","1500","1056","1.42045"
"","Belding's Savannah sparrow (adult)","","Belding's Savannah sparrow (adult). The Belding's is very similar to the large-billed sparrow populations, however it has darker and heavier blackish streaking overall. It is a State Endangered bird, and frequents the marshes of both the Tijuana Slough NWR and San Diego Bay NWR.","6797859257_28fa73d6ee_o","ds13041","Rinus Baak","","date-December 23, 2010","iso-2010-12-23","2010-Dec-23","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","Adult Belding's Savannah Sparrow. This state-designated endangered bird frequents the marshes of both the Tijuana Slough NWR and San Diego Bay NWR.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","sparrow, bird, endangered","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6797859257/in/set-72157628527901173/","","","","","126","175","0.72","1078","1500","0.718667"
"","Great blue heron (adult)","","Great blue heron (adult)","6796508449_c77160ce71_o","ds13040","Rinus Baak","","date-January 17, 2009","iso-2009-01-17","2009-Jan-17","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","Adult Great Blue Heron.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","heron, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6796508449/in/set-72157628527901173","","","","","175","117","1.49573","1500","1000","1.5"
"","Looking for creatures in the marsh","","Fifth and sixth grade students from a local elementary school peer over the McCoy Trail bridge to look for fiddler crabs, or perhaps a glimpse of a Light-footed clapper rail.","6555522255_2f1ef54cf1_o","ds13039","Lisa Cox","","date-October 24, 2011","iso-2011-10-24","2011-Oct-24","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","Fifth and sixth grade students from a local elementary school peer over the McCoy Trail bridge to look for Fiddler Crabs, or perhaps a glimpse of a Light-footed Clapper Rail.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","children","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555522255/in/set-72157628527901173/","","","","","175","117","1.49573","1500","1000","1.5"
"","Yellow crowned night heron (Nyctanassa violacea) catching a crab","","Yellow crowned night heron (Nyctanassa violacea) catching a crab. This night heron is considered by some birders as rare here in the marshes of Southern California.","6555455279_87c5988a1f_o","ds13038","Rinus Baak","","date-May 14, 2011","iso-2011-05-14","2011-May-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","Yellow-crowned Night Heron (Nyctanassa violacea) catching a crab. This night heron is considered rare by some birders here in the marshes of Southern California.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","heron, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555455279/in/set-72157628527901173/","","","","","175","119","1.47059","1500","1023","1.46628"
"","Matilija poppy (Romneya coulteri)","","Matilija poppy (Romneya coulteri)","6555447597_c8f4b2073b_o","ds13037","Rinus Baak","","date-May 14, 2011","iso-2011-05-14","2011-May-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","Matilija Poppy (Romneya coulteri)","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","plant, poppy","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555447597/in/set-72157628527901173/","","","","","175","117","1.49573","1500","1000","1.5"
"","Bird tracks in the marsh","","Bird tracks in the marsh.","6555240667_3f398a24ac_o","ds13036","Lisa Cox","","date-April 12, 2011","iso-2011-04-12","2011-Apr-12","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","Bird tracks in the marsh.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","bird, marsh","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555240667/in/set-72157628527901173/","","","","","175","117","1.49573","1500","1000","1.5"
"","Light-footed clapper rail (LFCR) nest and eggs","","Light-footed clapper rail (LFCR) nest and eggs. An unusually high number of eggs in this nest, this LFCR pair is sure to hatch a successful clutch. (Lisa Cox/USFWS)","6555220953_1a50f8b606_o","ds13035","Lisa Cox","","date-April 12, 2011","iso-2011-04-12","2011-Apr-12","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","Light-footed Clapper Rail nest and eggs. An unusually high number of eggs in this nest, this pair is sure to hatch a successful clutch.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","bird, calpper rail","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555220953/in/set-72157628527901173/","","","","","175","128","1.36719","1500","1095","1.36986"
"","California Cordgrass (Spartina foliosa)horizon","","California Cordgrass (Spartina foliosa).","6555208019_0a102640e3_o","ds13034","Lisa Cox","","date-April 12, 2011","iso-2011-04-12","2011-Apr-12","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","California Cordgrass (Spartina foliosa).","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","plant, cordgrass","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555208019/in/set-72157628527901173/","","","","","175","118","1.48305","1500","1011","1.48368"
"","Beach evening primrose (Camissonia cheiranthifolia)","","Beach evening primrose (Camissonia cheiranthifolia). A native dune species, this gorgeous yellow flower blooms from April to August.","6555193931_6924284fc2_o","ds13033","Lisa Cox","","date-April 28, 2011","iso-2011-04-28","2011-Apr-28","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","Beach Evening Primrose (Camissonia cheiranthifolia). A native dune species, this gorgeous yellow flower blooms from April to August.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","primrose, plant","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555193931/in/set-72157628527901173/","","","","","175","117","1.49573","1500","1000","1.5"
"","Front gate entrance to the beach and dune habitat on TJNWR","","Front gate entrance to the beach and dune habitat on Tijuana River National Wildlife Refuge. Every day, this gate is opened at sunrise and closed at sunset by the City of Imperial Beach Lifeguards who help patrol the beach, along with US Border Patrol and the US Fish & Wildlife Service staff.","6555184265_384d2ca568_o","ds13032","Lisa Cox","","date-May 19, 2011","iso-2011-05-19","2011-May-19","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","Front gate entrance to the beach and dune habitat on Tijuana River National Wildlife Refuge.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","estuary, refuge","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555184265/in/set-72157628527901173","","","","","175","114","1.53509","1500","979","1.53218"
"","A hiding American avocet (Recurvirostra americana) chick","","A hiding American avocet (Recurvirostra americana) chick. It takes a lot of work to walk around on the sticky bay mud, so this little chick is taking a break, while also hiding from predators.","6551228265_a8c0b015d1_o","ds13031","Lisa Cox","","date-June 22, 2011","iso-2011-06-22","2011-Jun-22","San Diego Bay National Wildlife Refuge, San Diego, CA","","32.5983148","-117.1229822","Attic / Coast to Cactus","An American Avocet (Recurvirostra americana) chick. It takes a lot of work to walk around on the sticky bay mud, so this chick is taking a break, hiding from predators.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","avocet, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6551228265/in/set-72157625068637776/","","","","","175","117","1.49573","1500","1002","1.49701"
"","Egret hunts within the marsh, coexisting with human industrialization nearby","","During an extreme high tide event on February 17, 2011 the bay water creeped into Sweetwater Marsh to 6.9 feet! Pictured here is Sweetwater Marsh with HWY 54/Interstate 5 highway connections that border the eastern edge of the highly urban San Diego Bay National Wildlife Refuge","6584431225_16d2ea23db_o","ds13030","Lisa Cox","","date-February 17, 2011","iso-2011-02-17","2011-Feb-17","San Diego Bay National Wildlife Refuge, San Diego, CA","","32.5983148","-117.1229822","Attic / Coast to Cactus","During an extreme high tide event on February 17, 2011, the bay water in Sweetwater Marsh reached 6.9 feet.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","tide","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6584431225/in/set-72157625068637776/","","","","","175","117","1.49573","1500","1000","1.5"
"","Great Catch!","","An adult California Least tern brings a robust fish back to its nest on the dunes to feed its chicks. Or, the tern could be possibly bringing it to a mate, to impress him/her! (Rinus Baak/USFWS).","6588868217_434a62c558_o","ds13029","Rinus Baak","","date-July 14, 2011","iso-2011-07-14","2011-Jul-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","An adult California Least Tern brings a robust fish back to its nest on the dunes to feed its chicks.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","tern, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6588868217/in/set-72157625068637776/","","","","","175","117","1.49573","1500","1000","1.5"
"","California Least tern adult","","This tern is searching for fish along the shoreline to feed its chicks waiting in the sand dunes","6588879079_76e4319b96_o","ds13028","Rinus Baak","","date-July 14, 2011","iso-2011-07-14","2011-Jul-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","This tern is searching for fish along the shoreline to feed its chicks waiting in the sand dunes","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","tern, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6588879079/in/set-72157625068637776/","","","","","175","117","1.49573","1500","1000","1.5"
"","Long-billed curlew","","A long billed curlew browsing from place to place along the tideline to search for more mollusks and crustaceans (Rinus Baak/USFWS).","6588887603_1a98f1b540_o","ds13027","Rinus Baak","","date-July 14, 2011","iso-2011-07-14","2011-Jul-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","A Long-billed Curlew searching along the tideline for mollusks and crustaceans .","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","curlew, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6588887603/in/set-72157625068637776/","","","","","175","121","1.44628","1500","1039","1.4437"
"","Fuzzy and fragile","","California least tern chick is just one or two days old on Tijuana Slough National Wildlife Refuge.","6588898003_c1856d25e3_o","ds13026","Rinus Baak","","date-July 14, 2011","iso-2011-07-14","2011-Jul-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","This California Least Tern chick is just one or two days old.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","tern, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6588898003/in/set-72157625068637776/","","","","","175","119","1.47059","1500","1019","1.47203"
"","California least tern (CLT) gets its wing measurements","","California least tern (CLT) gets its wing measurements. Biologists regularly monitor CLT and Western snowy plover chicks throughout the breeding season from March to August on the Tijuana Slough National Wildlife Refuge and other nearby parks and preserves in San Diego.","6588901815_495a1064f4_o","ds13025","Rinus Baak","","date-July 14, 2011","iso-2011-07-14","2011-Jul-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic / Coast to Cactus","California Least Tern gets its wing measured. Biologists regularly monitor chicks throughout the breeding season from March to August on the Tijuana Slough National Wildlife Refuge and other nearby areas.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","tern, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6588901815/in/set-72157625068637776/","","","","","175","126","1.38889","1500","1076","1.39405"
"","Elegant tern chicks huddle with parents","","Elegant tern chicks huddle with parents. Elegant terns gather together and get fed by several adults. There is strength and protection when they stay together as a group.","6589160969_cf410d42c8_o","ds13024","Brian Collins","","date-June 02, 2010","iso-2010-06-02","2010-Jun-02","San Diego Bay National Wildlife Refuge, CA","","32.5983148","-117.1229822","Attic / Coast to Cactus","Elegant Tern chicks huddle with parents.  Elegant Terns gather together and get fed by several adults.  There is strength and protection when they stay together as a group.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Brian Collins/U.S. Fish and Wildlife Service","tern, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6589160969/in/set-72157625068637776","","","","","175","130","1.34615","1500","1116","1.34409"
"","Terns swarm the salt ponds on San Diego Bay NWR in June","","Terns swarm the salt ponds on San Diego Bay NWR in June. An Elegant tern (ELTE) colony on the San Diego Bay NWR, made up of about 10,000 nests. This is only one of the main levees they nest on each year. This year (2010) was a record-breaking year for ELTE's","6589166357_fb2e769763_o","ds13023","Brian Collins","","date-June 02, 2010","iso-2010-06-02","2010-Jun-02","San Diego Bay National Wildlife Refuge, CA","","32.5983148","-117.1229822","Attic / Coast to Cactus","Terns swarm the salt ponds on San Diego Bay National Wildlife Refuge in June.  This Elegant Tern colony is made up of about 10,000 nests.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Brian Collins/U.S. Fish and Wildlife Service","bird, tern","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6589166357/in/set-72157625068637776/","","","","","175","152","1.15132","1500","1299","1.15473"
"","Long-billed curlew","","A long-billed curlew takes a stroll while searching for mollusks and crustaceans along the tideline near the US/Mexico border fence on Borderfield State Park.","6588890703_87b68d4ae6_o","ds13022","Rinus Baak","","date-July 18, 2011","iso-2011-07-18","2011-Jul-18","Border Field State Park, San Diego, CA","","32.544702","-117.122063","Attic / Coast to Cactus","A Long-billed Curlew takes a stroll while searching for mollusks and crustaceans along the tideline near the US/Mexico border fence on Border Field State Park.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","curlew, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6588890703/in/set-72157625068637776/","","","","","175","126","1.38889","1500","1080","1.38889"
"","Light-footed clapper rail receives leg band","","Light-footed clapper rail receives leg band. Carlsbad Fish & Wildlife Service biologist, Erin McCarthy, holds an endangered light-footed clapper rail while it receives a leg band before being released into the wild July 19, 2011, at the San Diego River Channel, San Diego, CA. This bird was captive bred in a clapper rail recovery program. The recovery program is a partnership between three breeding centers, along with the USFWS, U.S. Navy, the Port of San Diego, the California Department of Fish and Game and independent wildlife biolgists.","5959315150_b8dcdc6631_o","ds13021","Stephanie Weagley/USFWS","","date-July 18, 2011","iso-2011-07-18","2011-Jul-18","San Diego, CA","","32.7581047","-117.2494814","Attic / Coast to Cactus","U.S Fish & Wildlife Service biologist Erin McCarthy holds an endangered Light-footed Clapper Rail while it receives a leg band before being released into the wild.","","","","","","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Stephanie Weagley/U.S. Fish and Wildlife Service","clapper rail, endangered, wetland, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/5959315150/in/set-72157625068637776/","","","","","175","119","1.47059","1500","1023","1.46628"
