"umoId","title","artistCreator","description","objectId","_id","photographer","people","date","creationPlace","event","latitude","longitude","exhibition","labelTextEnglish","labelTextSpanish","locality","specimenNumber","commonName","scientificName","family","genus","species","medium","projectCode","projectName","notes","copyright","creditLine","keyword","restrictionsForAccess","materialsReleaseRecd","permissionsRestrictions","sourceInstitution","infoStatus","institutionDesc","habitatDs","dsLocId","generalLocationDs","thenNowDs","internalNotes"
"","Landslide","","Los Angeles County, California, landslides. Pacific Palisades. Landslide at the west end of Via de las Olas which occurred at 6:50 a.m., March 27, 1958. Isetta car on the beach at the toe of the slide. View is west-northwest. 1#1:15 a.m., March 27, 1958.","mjt00317 Los Angeles County, California, landslides.","ds19007","McGill, J.T","","1958-Mar-27","Pacific Palisades, CA","","34.0442315","-118.5268144","Attic Section","Landslide at the west end of Via de las Olas which occurred at 6:50 a.m. on March 27, 1958. View is to the west-northwest.","","","","","","","","","","16","Coast to Cactus","","USGS/Public Domain","USGS","landslide","US Gov't so should be PD","","","","","","Coast","19","Los Angeles","","/htmllib/btch219/btch219j/btch219z/btch219/mjt00317.jpg"
"","Landslide","","Los Angeles County, California, landslides. Pacific Palisades. Landslide at 15205 DePauw Street in middle Potrero Canyon. Overhanging rear of the house. View is south. November 18, 1955. Photos mjt00187, mjt00193, mjt00194, mjt00195, mjt00196, mjt00197, and mjt00198 form a multi-year sequence.","mjt00187 Los Angeles County, California, landslides.","ds19006","McGill, J.T","","1955-Nov-18","Pacific Palisades, CA","","34.0442315","-118.5268144","Attic Section","Landslide at 15205 DePauw Street in middle Potrero Canyon. View is to the south.","","","","","","","","","","16","Coast to Cactus","","USGS/Public Domain","USGS","landslide","US Gov't so should be PD","","","","","","Coast","19","Los Angeles","","/htmllib/btch205/btch205j/btch205z/mjt00187.jpg"
"","San Fernando, California, Earthquake","","San Fernando, California, Earthquake February 1971. Damaged Los Angeles County ambulance still under collapsed covered parking at Olive View Hospital.","kach0049 San Fernando, California, Earthquake February 1971.","ds19005","Kachadoorian, R.","","1971-Feb","San Fernando, CA","","34.2889985","-118.4359885","Attic Section","San Fernando, California, Earthquake February, 1971. Damaged Los Angeles County ambulance still under collapsed covered parking at Olive View Hospital.","","","","","","","","","","16","Coast to Cactus","","USGS/Public Domain","USGS","earthquake","US Gov't so should be PD","","","","","","Urban","19","Los Angeles","","/htmllib/batch31/batch31j/batch31z/kach0049.jpg"
"","Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.","","Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.","Sbard_SantaMonica02","ds19004","Susanne Clara Bard","","2014-Aug","Santa Monica, CA","","34.0218628","-118.4804206","Attic Section","Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.","","","","","","","","","","16","Coast to Cactus","","© Susanne Clara Bard","Susanne Clara Bard","beach","Need release","","","","","","Coast","19","Los Angeles","",""
"","Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon. Pacific Ocean in background. Los Angeles County, Calfornia. ca 1904.","","Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon. Pacific Ocean in background. Los Angeles County, Calfornia. ca 1904.","mwc00483 Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon","ds19003","Mendenhall, W.C.","","1904","Santa Monica, CA","","34.0218628","-118.4804206","Attic Section","Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.","","","","","","","","","","16","Coast to Cactus","","USGS/Public Domain","USGS","beach","US Gov't so should be PD","","","","","","Coast","19","Los Angeles","","/htmllib/btch438/btch438j/btch438z/btch438/mwc00483.jpg"
"","Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.","","Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.","","ds19002now","Susanne Clara Bard","","2014-Aug","Santa Monica, CA","","34.0218628","-118.4804206","Attic Section","Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.","","","","","","","","","","16","Coast to Cactus","","© Susanne Clara Bard","Susanne Clara Bard","beach","Need release","","","","","","Coast","19","Los Angeles","NOW1",""
"","Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.","","Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon. Pacific Ocean in background. Los Angeles County, Calfornia. ca 1904.","mwc00483 Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon","ds19001then","Mendenhall, W.C.","","1904","Santa Monica, CA","","34.0218628","-118.4804206","Attic Section","Alluvial Bluffs along the Pacific Coast north of Santa Monica Canyon.","","","","","","","","","","16","Coast to Cactus","","USGS/Public Domain","USGS","beach","US Gov't so should be PD","","","","","","Coast","19","Los Angeles","THEN1","/htmllib/btch438/btch438j/btch438z/btch438/mwc00483.jpg"
"","Coronado Tent City and Hotel del Coronado","","Panoramic view of Coronado beach and its Tent City for tourists; Hotel del Coronado is visible in the background. A number of flags are flying, and electric power poles make electricity available. On December 19, 1885, H.L. Story and E.S. (Elisha) Babcock purchased the entire peninsula of Coronado and North Island for $110,000 and developed it through subdivision and lot sales. They were also the visionary founders of the Hotel del Coronado, built by architects James, Merritt & Watson Reid at the cost of one million dollars. The Del, as it is known, opened in 1888 and is located immediately behind the beach, facing the Pacific Ocean; it is the largest beach resort on the North American Pacific Coast. It was designated California Historical Landmark No. 844, added to the National Register of Historic Places - building #71000181 on October 14, 1971, and designated a National Historic Landmark on May 5, 1977.","","ds13055r","","","1920","Coronado Island, CA","","32.6463448","-117.1735194","Attic Section","Coronado beach and its Tent City for tourists; Hotel del Coronado is visible in the background. Electric power poles supplied electricity.","","","","","","","","","","16","Coast to Cactus","","Los Angeles Public Library","Los Angeles Public Library Security Pacific National Bank Collection","camping","","","","","","","Coast","13","San Diego - Coast","","http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=92&controlNumber=77563 data is approximate"
"","","","The Famous Hotel del Coronado, Coronado, Calif.","7535859768_0b1a245c33_o","ds13054","","","1930/1945","Coronado Island, CA","","32.6463448","-117.1735194","Attic Section","Postcard: ""The Famous Hotel del Coronado, Coronado, Calif.""","","","","","","","","","","","","","(CC) Boston Public Library, Creative Commons License 2.0","Boston Public Library","","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","","13","San Diego - Coast","","https://www.flickr.com/photos/boston_public_library/7535859768"
"","","","Exploring tidepools at Point Loma","SDNHM_CatoP_003","ds13053","Kerry Cato","","1997-Apr","Point Loma, San Diego, CA","","32.7123811","-117.2160231","","Alyse, Paisley and Katie Cato exploring the tide pools at Point Loma, CA.","","","","","","","","","","","","","©Paisley Cato","Paisley Cato","beach, tidepool","","","","","","","","13","San Diego - Coast","",""
"","","","Tijuana River Estuarine Research Reserve. The Tijuana River Estuarine Research Reserve is part of a network of 28 protected areas located in the United States and territories established for long-term research, education and stewardship.","9953347176_dde3756944_o","ds13052","","","2008-Dec-16","San Diego, CA","","32.8245525","-117.0951632","","The Tijuana River Estuarine Research Reserve is part of a network of 28 protected areas located in the United States and territories established for long-term research, education and stewardship.","","","","","","","","","","16","Coast to Cactus","","(CC) Tijuana River National Estuarine Research Reserve, Creative Commons License 2.0"," Tijuana River National Estuarine Research Reserve","estuary","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","","13","San Diego - Coast","","https://www.flickr.com/photos/usoceangov/9953347176/"
"","Female Black-chinned Hummingbird (Archilochus alexandri)","","Female Black-chinned Hummingbird (Archilochus alexandri)","6081198171_99a3ddabe8_o","ds13051","","","2011-Jul-18","San Diego, CA","","32.8245525","-117.0951632","","Female Black-chinned Hummingbird (Archilochus alexandri).","","","","","","","","","","16","Coast to Cactus","","(CC) Heather Paul, Creative Commons License BY-ND 2.0","Heather Paul","hummingbird, bird","https://creativecommons.org/licenses/by-nd/2.0/","","https://creativecommons.org/licenses/by-nd/2.0/","","","","","13","San Diego - Coast","","https://www.flickr.com/photos/warriorwoman531/6081198171/"
"","San Diego from Space Shuttle Columbia","","STS090-758-018 (17 April - 3 May 1998) --- The Space Shuttle Columbia was almost directly over the San Diego, California, area when this scene was captured with a 70mm handheld camera. In order for north to appear toward the top of the frame, it should be held with the Pacific Ocean waters to the left. The United States Naval Air Station, the United States Naval Training Center, United States Marine Corps (USMC) Recruit Depot and the United States Naval Station are all visible just left of center on or near the island and peninsula features. Among the many bodies of water visible in the photo are Mission Bay, San Diego Bay, Lower Otay Reservoir, Sweetwater Reservoir and El Capitan Reservoir.","9362266426_a8071b6f3c_o","ds13050","","","1998-Mar","San Diego, CA","","32.8245525","-117.0951632","","The Space Shuttle Columbia was almost directly over the San Diego, California, area when this scene was captured with a 70mm handheld camera.","","","","","","","","","","16","Coast to Cactus","","NASA/Public Domain","NASA","space, aerial","https://creativecommons.org/licenses/by-nc/2.0/","","https://creativecommons.org/licenses/by-nc/2.0/","","","","","13","San Diego - Coast","","https://www.flickr.com/photos/conboy/4366364865"
"","Mission Bay Aerial 1999","","Mission Bay Aerial 1999 from San Diego History book","Mission Bay   San Diego History Center","ds13049r","","","1999","Mission Bay, San Diego, CA","","32.777574","-117.2293209","","An aerial view of Mission Bay.","","","","","","","","","","16","Coast to Cactus",""," © San Diego History Center","San Diego History Center","aerial, bay","Need permissions","","Need permissions","","","","Coast","13","San Diego - Coast","NOW?","http://www.sandiegohistory.org/journal/2002-1/imagesrick.htm"
"","Mission Bay 1912","","Mission Bay - 1912","Mission Bay – 1912   San Diego History Center","ds13048r","","","1912","Mission Bay, San Diego, CA","","32.777574","-117.2293209","","Mission Bay.","","","","","","","","","","16","Coast to Cactus",""," © San Diego History Center","San Diego History Center","bay","Need permissions","","Need permissions","","","","Coast","13","San Diego - Coast","THEN?","http://www.sandiegohistory.org/photostore/product/mission-bay-1912/"
"","Mission Bay","","MISSION BAY - VIEW LOOKING NORTH FROM JELLETT AND PACIFIC HIGHWAY - 1906 - #214","mission_bay_-_view_looking_north_from_jellett_and_pacific_highway_-__1906_-_214","ds13047r","","","1906","Mission Bay, San Diego, CA","","32.777574","-117.2293209","","Mission Bay - view looking north from Jellett and Pacific Highway.","","","","","","","","","","16","Coast to Cactus",""," © San Diego History Center","San Diego History Center","bay","Need permissions","","Need permissions","","","","Coast","13","San Diego - Coast","THEN?","http://www.sandiegohistory.org/prints/m-m/mission-bay-view-looking-north-jellett-and-pacific-highway-1906-214"
"","Red san verbena","","Red sand verbena","13903101962_2e72345ed8_o","ds13046","Jim Melli","","2014-Apr-11","Tijuana Estuary","","32.551019","-117.111768","Attic Section","Red sand verbena.","","","","","","","","","","16","Coast to Cactus","","©Jim Melli","Jim Melli","verbena, plant","","Need release","","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/melli46/13903101962/in/set-72157644127089763"
"","Osprey in flight over Sweetwater Marsh","","Osprey in flight over Sweetwater Marsh","7114010895_8b993d4df5_o","ds13045","","","2012-Apr-25","San Diego Bay National Wildlife Refuge, CA","","32.5983148","-117.1229822","Attic Section","Osprey in flight over Sweetwater Marsh.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","U.S. Fish and Wildlife Service","osprey, bird, marsh","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","",""
"","Sweetwater River Flood Control Channel","","The Sweetwater River divides two portions of the Sweetwater Marsh Unit of the San Diego Bay NWR.","7114016167_f3a3a6c53d_o","ds13044","Lisa Cox","","2012-Apr-25","San Diego Bay National Wildlife Refuge, CA","","32.5983148","-117.1229822","Attic Section","The Sweetwater River divides two portions of the Sweetwater Marsh Unit of the San Diego Bay National Wildlife Refuge.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","river, marsh","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/7114010895/in/set-72157628606924721"
"","Chula Vista Nature Center on the Sweetwater Marsh Unit of the San Diego Bay NWR","","The Chula Vista Nature Center is located on Sweetwater Marsh, and has been in operation since 1987.","6584496523_0b122391c3_o","ds13043","Lisa Cox","","2011-Jun-01","San Diego Bay National Wildlife Refuge, CA","","32.5983148","-117.1229822","Attic Section","The Chula Vista Nature Center is located on Sweetwater Marsh, and has been in operation since 1987.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","marsh","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6584496523/in/set-72157628606924721"
"","Cleveland sage (Salvia clevelandii)","","Cleveland sage (Salvia clevelandii). A bee's-eye-view, taken at the Visitor Center on Tijuana Slough NWR, looking southwest toward the ocean.","6798012855_621fca562e_o","ds13042","Lisa Cox","","2011-Apr-28","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","Cleveland sage (Salvia clevelandii). A bee's-eye-view, taken at the Visitor Center on Tijuana Slough National Wildlife Refuge, looking southwest toward the ocean.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","sage, plant","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6798012855/in/set-72157628527901173/"
"","Belding's Savannah sparrow (adult)","","Belding's Savannah sparrow (adult). The Belding's is very similar to the large-billed sparrow populations, however it has darker and heavier blackish streaking overall. It is a State Endangered bird, and frequents the marshes of both the Tijuana Slough NWR and San Diego Bay NWR.","6797859257_28fa73d6ee_o","ds13041","Rinus Baak","","2010-Dec-23","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","Adult Belding's Savannah sparrow. It is a State Endangered bird, and frequents the marshes of both the Tijuana Slough NWR and San Diego Bay NWR.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","sparrow, bird, endangered","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6797859257/in/set-72157628527901173/"
"","Great blue heron (adult)","","Great blue heron (adult)","6796508449_c77160ce71_o","ds13040","Rinus Baak","","2009-Jan-17","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","Adult Great blue heron.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","heron, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6796508449/in/set-72157628527901173"
"","Looking for creatures in the marsh","","Fifth and sixth grade students from a local elementary school peer over the McCoy Trail bridge to look for fiddler crabs, or perhaps a glimpse of a Light-footed clapper rail.","6555522255_2f1ef54cf1_o","ds13039","Lisa Cox","","2011-Oct-24","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","Fifth and sixth grade students from a local elementary school peer over the McCoy Trail bridge to look for fiddler crabs, or perhaps a glimpse of a Light-footed clapper rail.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","children","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555522255/in/set-72157628527901173/"
"","Yellow crowned night heron (Nyctanassa violacea) catching a crab","","Yellow crowned night heron (Nyctanassa violacea) catching a crab. This night heron is considered by some birders as rare here in the marshes of Southern California.","6555455279_87c5988a1f_o","ds13038","Rinus Baak","","2011-May-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","Yellow crowned night heron (Nyctanassa violacea) catching a crab. This night heron is considered by some birders as rare here in the marshes of Southern California.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","heron, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555455279/in/set-72157628527901173/"
"","Matilija poppy (Romneya coulteri)","","Matilija poppy (Romneya coulteri)","6555447597_c8f4b2073b_o","ds13037","Rinus Baak","","2011-May-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","Matilija poppy (Romneya coulteri)","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","plant, poppy","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555447597/in/set-72157628527901173/"
"","Bird tracks in the marsh","","Bird tracks in the marsh.","6555240667_3f398a24ac_o","ds13036","Lisa Cox","","2011-Apr-12","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","Bird tracks in the marsh.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","bird, marsh","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555240667/in/set-72157628527901173/"
"","Light-footed clapper rail (LFCR) nest and eggs","","Light-footed clapper rail (LFCR) nest and eggs. An unusually high number of eggs in this nest, this LFCR pair is sure to hatch a successful clutch. (Lisa Cox/USFWS)","6555220953_1a50f8b606_o","ds13035","Lisa Cox","","2011-Apr-12","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","Light-footed clapper rail nest and eggs. An unusually high number of eggs in this nest, this pair is sure to hatch a successful clutch.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","bird, calpper rail","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555220953/in/set-72157628527901173/"
"","California Cordgrass (Spartina foliosa)horizon","","California Cordgrass (Spartina foliosa).","6555208019_0a102640e3_o","ds13034","Lisa Cox","","2011-Apr-12","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","California Cordgrass (Spartina foliosa).","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","plant, cordgrass","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555208019/in/set-72157628527901173/"
"","Beach evening primrose (Camissonia cheiranthifolia)","","Beach evening primrose (Camissonia cheiranthifolia). A native dune species, this gorgeous yellow flower blooms from April to August.","6555193931_6924284fc2_o","ds13033","Lisa Cox","","2011-Apr-28","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","Beach evening primrose (Camissonia cheiranthifolia). A native dune species, this gorgeous yellow flower blooms from April to August.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","primrose, plant","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555193931/in/set-72157628527901173/"
"","Front gate entrance to the beach and dune habitat on TJNWR","","Front gate entrance to the beach and dune habitat on Tijuana River National Wildlife Refuge. Every day, this gate is opened at sunrise and closed at sunset by the City of Imperial Beach Lifeguards who help patrol the beach, along with US Border Patrol and the US Fish & Wildlife Service staff.","6555184265_384d2ca568_o","ds13032","Lisa Cox","","2011-May-19","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","Front gate entrance to the beach and dune habitat on Tijuana River National Wildlife Refuge.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","estuary, refuge","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6555184265/in/set-72157628527901173"
"","A hiding American avocet (Recurvirostra americana) chick","","A hiding American avocet (Recurvirostra americana) chick. It takes a lot of work to walk around on the sticky bay mud, so this little chick is taking a break, while also hiding from predators.","6551228265_a8c0b015d1_o","ds13031","Lisa Cox","","2011-Jun-22","San Diego Bay National Wildlife Refuge, San Diego, CA","","32.5983148","-117.1229822","Attic Section","An American avocet (Recurvirostra americana) chick. It takes a lot of work to walk around on the sticky bay mud, so this chick is taking a break, hiding from predators.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","avocet, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6551228265/in/set-72157625068637776/"
"","Egret hunts within the marsh, coexisting with human industrialization nearby","","During an extreme high tide event on February 17, 2011 the bay water creeped into Sweetwater Marsh to 6.9 feet! Pictured here is Sweetwater Marsh with HWY 54/Interstate 5 highway connections that border the eastern edge of the highly urban San Diego Bay National Wildlife Refuge","6584431225_16d2ea23db_o","ds13030","Lisa Cox","","2011-Feb-17","San Diego Bay National Wildlife Refuge, San Diego, CA","","32.5983148","-117.1229822","Attic Section","During an extreme high tide event on February 17, 2011, the bay water in Sweetwater Marsh reached 6.9 feet.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Lisa Cox/U.S. Fish and Wildlife Service","tide","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6584431225/in/set-72157625068637776/"
"","Great Catch!","","An adult California Least tern brings a robust fish back to its nest on the dunes to feed its chicks. Or, the tern could be possibly bringing it to a mate, to impress him/her! (Rinus Baak/USFWS).","6588868217_434a62c558_o","ds13029","Rinus Baak","","2011-Jul-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","An adult California Least tern brings a robust fish back to its nest on the dunes to feed its chicks.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","tern, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6588868217/in/set-72157625068637776/"
"","California Least tern adult","","This tern is searching for fish along the shoreline to feed its chicks waiting in the sand dunes","6588879079_76e4319b96_o","ds13028","Rinus Baak","","2011-Jul-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","This tern is searching for fish along the shoreline to feed its chicks waiting in the sand dunes","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","tern, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6588879079/in/set-72157625068637776/"
"","Long-billed curlew","","A long billed curlew browsing from place to place along the tideline to search for more mollusks and crustaceans (Rinus Baak/USFWS).","6588887603_1a98f1b540_o","ds13027","Rinus Baak","","2011-Jul-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","A long billed curlew browsing from place to place along the tideline to search for mollusks and crustaceans .","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","curlew, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6588887603/in/set-72157625068637776/"
"","Fuzzy and fragile","","California least tern chick is just one or two days old on Tijuana Slough National Wildlife Refuge.","6588898003_c1856d25e3_o","ds13026","Rinus Baak","","2011-Jul-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","This California least tern chick is just one or two days old.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","tern, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6588898003/in/set-72157625068637776/"
"","California least tern (CLT) gets its wing measurements","","California least tern (CLT) gets its wing measurements. Biologists regularly monitor CLT and Western snowy plover chicks throughout the breeding season from March to August on the Tijuana Slough National Wildlife Refuge and other nearby parks and preserves in San Diego.","6588901815_495a1064f4_o","ds13025","Rinus Baak","","2011-Jul-14","Tijuana Slough National Wildlife Refuge, Imperial Beach, CA","","32.551019","-117.111768","Attic Section","California least tern gets its wing measurements. Biologists regularly monitor chicks throughout the breeding season from March to August on the Tijuana Slough National Wildlife Refuge and other nearby areas.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Rinus Baak/U.S. Fish and Wildlife Service","tern, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6588901815/in/set-72157625068637776/"
"","Elegant tern chicks huddle with parents","","Elegant tern chicks huddle with parents. Elegant terns gather together and get fed by several adults. There is strength and protection when they stay together as a group.","6589160969_cf410d42c8_o","ds13024","Brian Collins","","2010-Jun-02","San Diego Bay National Wildlife Refuge, CA","","32.5983148","-117.1229822","Attic Section","Elegant tern chicks huddle with parents. Elegant terns gather together and get fed by several adults. There is strength and protection when they stay together as a group.","","","","","","","","","","16","Coast to Cactus","","(CC) U.S. Fish and Wildlife Service, Creative Commons License 2.0","Brian Collins/U.S. Fish and Wildlife Service","tern, bird","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","13","San Diego - Coast","","https://www.flickr.com/photos/usfws_pacificsw/6589160969/in/set-72157625068637776"
